candidacy_id,election_id,office_type,division_id,candidate_name,candidate_party,is_incumbent,is_winner,source_id
OPCID:874747711,OPEID:385970256,sen,,Tim Kaine,Democratic,yes,yes,
OPCID:345631564,OPEID:385970256,sen,,Matt Waters,Libertarian,no,no,
OPCID:960954509,OPEID:385970256,sen,,Corey Stewart,Republican,no,no,
OPCID:734746160,OPEID:578230859,gov,,Ralph Northam,Democratic,no,yes,
OPCID:209765575,OPEID:578230859,gov,,Ed Gillespie,Republican,no,no,
OPCID:440837476,OPEID:578230859,gov,,Corey Stewart,Libertarian,no,no,
OPCID:132845751,OPEID:578230859,ltgov,,Justin Fairfax,Democratic,no,yes,
OPCID:123968184,OPEID:578230859,ltgov,,Jill Vogel,Republican,no,no,
OPCID:127322286,OPEID:578230859,ag,,Mark Herring,Democratic,yes,yes,
OPCID:797444855,OPEID:578230859,ag,,John Adams,Republican,no,no,
OPCID:109883727,OPEID:385970256,pres,,Hillary Clinton,Democratic,no,no,
OPCID:681337223,OPEID:385970256,pres,,Donald Trump,Republican,no,yes,
OPCID:837106430,OPEID:385970256,pres,,,Other,,,
OPCID:332571831,OPEID:578230859,sldl,,,Democratic,,,
OPCID:553244221,OPEID:578230859,sldl,,,Republican,,,
OPCID:879378296,OPEID:578230859,sldl,,,Other,,,
OPCID:131182305,OPEID:847144854,cd,,,Democratic,,,
OPCID:666537775,OPEID:847144854,cd,,,Republican,,,
OPCID:338039615,OPEID:847144854,cd,,,Other,,,
OPCID:920017699,OPEID:385970256,cd,,,Democratic,,,
OPCID:570178216,OPEID:385970256,cd,,,Republican,,,
OPCID:632374341,OPEID:385970256,cd,,,Other,,,
